Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywordsP@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['admissible measurement errors', 'complex systems', 'informative attributes', 'fuzzy set theory', 'fuzzy information', 'fuzzy values', 'maximally admissible degree', 'measurement errors', 'admissible measurement', 'states', 'basis', 'complex', 'fuzzy set', 'identification', 'systems', 'fuzzy', 'maximally admissible', 'admissible degree', 'measurement', 'admissible', 'set theory', 'correctly identify', 'current state', 'estimation', 'errors', 'information', 'problem', 'values', 'attributes', 'considered', 'estimates', 'maximally', 'degree', 'obtained', 'possible', 'apparatus', 'set', 'theory', 'correctly', 'identify', 'current']",0.0975609756097561,0.8,0.1739130434782609,5,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181645290585739,0.0746380555109695
"['linear algebraic equations', 'numerical system']","['linear algebraic equations', 'algebraic equations', 'm-dimensional lambda', 'linear algebraic', 'algebraic', 'equations', 'm-dimensional', 'lambda', 'linear', 'matrices', 'system', 'system lies', 'numerical system', 'proposed method', 'solution', 'method', 'special kind', 'considered', 'kind', 'proposed', 'searching', 'lies', 'reducing', 'numerical', 'special']",0.08,1.0,0.14814814814814814,2,25,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.5,0.11764705882352941,0.2894360302417433,0.0757142857142857
"['building management systems', 'facilities management systems', 'database integration', 'software development technology', 'open control network']","['-lrb- fms -rrb-', 'systems -lrb- fms', '-lrb- dcom -rrb-', 'management systems -lrb-', 'internet recently', 'web-based access -lrb-', '-lrb- fms', 'fms -rrb-', 'object model -lrb-', 'model -lrb- dcom', 'internet', 'systems -lrb-', 'facilities management systems', 'facilities management', '-lrb-', '-rrb-', 'develop building management', 'database integration -rrb-', 'bms', 'great interest', 'management systems', 'access -lrb- including', '-lrb- including database', 'dcom -rrb- software', 'management', 'model -lrb-', '-lrb- dcom', 'dcom -rrb-', 'distributed component object', 'component object model', 'fms', 'building facilities management', 'integration -rrb-', 'recently', 'building management systems', 'access -lrb-', '-lrb- including', 'integrating building management', 'building management', 'facilities', 'develop building', 'building', 'accessing bms remotely', 'bms local networks', 'web server', '-rrb- software', 'web-based access', 'accessing bms', 'bms remotely', 'systems', 'intranet', 'internet protocols', '-rrb- software development', 'distributed component', 'component object', 'object model', 'interconnecting bms', 'bms local', 'web', 'control networks', 'control', 'networks', 'building facilities', 'integrating control networks', 'integrating building', 'including database integration', 'internet-enabled system', 'interconnecting bms local', 'experimental internet-enabled system', 'integrating', 'open control', 'great', 'interest', 'adopt', 'develop', 'web-based', 'integrating control', 'embedded web server', 'embedded web', 'database integration', 'developed', 'server', 'open', 'paper addresses', 'technical issues', 'including database', 'open control networks', 'internet-enabled', 'distributed', 'component', 'object', 'model', 'dcom', 'system integrated', 'paper', 'addresses', 'technical', 'issues', 'access', 'including', 'database', 'local networks', 'system integrated open', 'integrated open control', 'developed utilizing', 'accessing', 'remotely', 'protocols', 'infrastructures', 'integrates', 'experimental', 'tested', 'integrated open', 'analyzed', 'development', 'utilizing', 'embedded', 'software', 'technology', 'platform', 'strategies', 'interconnecting', 'local', 'presented', 'software development', 'development technology', 'software development technology']",0.031496062992125984,0.8,0.06060606060606061,5,127,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.06666666666666667,0.2,0.1,0.5491384792889747,0.22955396797568958
"['collective dose calculations', 'facility operations', 'public', 'electronic population data resources', 'personal computer']","['collective dose calculations', 'collective dose provides', 'collective dose', 'estimating populations', 'dose calculations', 'dose provides', 'facility operations', 'public based', 'electronic population data', 'population data resources', 'estimate', 'geographic information system', 'collective', 'dose', 'information system software', 'population', 'population data', 'estimating', 'geographic information', 'calculations', 'provides', 'effects', 'facility', 'operations', 'public', 'based', 'area', 'information system', 'system software', 'data resources', 'personal computer', 'develop estimates', 'geographic', 'sites', 'information', 'system', 'software', 'electronic', 'data', 'resources', 'personal', 'computer', 'develop', 'radii']",0.09090909090909091,0.8,0.163265306122449,5,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3484550573402742,0.08395821997060386
['accelerated simulation'],"['general accelerated simulation', 'accelerated simulation method', 'steady-state availability', 'accelerated simulation', 'non-markovian systems', 'simulation method', 'general accelerated', 'steady-state', 'availability', 'non-markovian', 'simulation', 'accelerated', 'systems', 'general', 'method', 'evaluation', 'proposed', 'numerical examples', 'applied', 'investigation', 'class', 'repair', 'numerical', 'given', 'examples']",0.04,1.0,0.07692307692307693,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22106472945750344,0.045454545454545456
"['programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['programming descriptological foundations', 'descriptological foundations', 'programming descriptological', 'foundations', 'programming', 'descriptological', 'concept', 'explication', 'given', 'abstraction', 'introduction', 'constructed', 'level', 'descriptive process', 'operations', 'intensional concept', 'bipole level', 'descriptive', 'process', 'bipolar function', 'processes', 'elimination', 'refined', 'intensional', 'bipolar', 'function', 'introduced', 'extraction', 'bipole', 'basis', 'complete', 'set', 'complete set']",0.15151515151515152,1.0,0.2631578947368421,5,33,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.1,0.39432281529273006,0.14563121800444315
"['linear constraints', 'set of natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal generating sets']","['linear diophantine equations', 'natural numbers criteria', 'linear diophantine', 'diophantine equations', 'linear constraints', 'strict inequations', 'natural numbers', 'numbers criteria', 'minimal supporting set', 'minimal generating sets', 'systems', 'minimal set', 'compatibility', 'linear', 'inequations', 'diophantine', 'set', 'considered types', 'minimal', 'solutions', 'types', 'supporting set', 'criteria', 'minimal generating', 'considered', 'mixed types', 'upper bounds', 'constraints', 'natural', 'numbers', 'strict', 'nonstrict', 'generating sets', 'algorithms', 'corresponding algorithms', 'upper', 'sets', 'bounds', 'components', 'construction', 'generating', 'given', 'corresponding', 'supporting', 'solving', 'mixed']",0.06521739130434782,0.6,0.11764705882352941,5,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111608665086701,0.07111388391876197
"['recurring issues', 'changing practices']","['acquiring out-of-print materials', 'assess recurring issues', 'identify changing practices', 'acquiring out-of-print', 'article reviews', 'two-and-a-half decades', 'assess recurring', 'recurring issues', 'identify changing', 'changing practices', 'out-of-print materials', 'out-of-print literature', 'acquiring', 'materials', 'literature', 'out-of-print', 'collections', 'entire new libraries', 'copies', 'new', 'years', 'article', 'reviews', 'two-and-a-half', 'decades', 'assess', 'recurring', 'issues', 'identify', 'changing', 'practices', 'provide materials', 'libraries need', 'replace missing copies', 'libraries', 'strengthen weak collections', 'develop strong collections', 'new libraries', 'replace', 'weak collections', 'strong collections', 'damaged copies', 'missing copies', 'duplicate copies', 'new courses', 'new programs', 'entire new', 'replace worn', 'replace missing', 'fill gaps', 'strengthen weak', 'develop strong', 'acquire', 'uniform', 'assertion', 'need', 'worn', 'damaged', 'missing', 'duplicate', 'heavily', 'fill', 'gaps', 'strengthen', 'weak', 'continue', 'develop', 'strong', 'provide', 'courses', 'programs', 'entire']",0.027777777777777776,1.0,0.05405405405405406,2,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20253997794019052,0.029411764705882353
['pseudofuzzy quantities'],"['bayesian inference techniques', 'inference techniques problems', 'constructing fuzzy bayesian', 'fuzzy bayesian inference', 'mathematical fundamentals', 'inference techniques', 'associated technique', 'fuzzy bayesian', 'bayesian inference', 'bayesian approach', 'fuzzy bayesian method', 'constructing fuzzy', 'fuzzy data', 'techniques problems', 'bayesian', 'fuzzy', 'pseudofuzzy quantities', 'bayesian decision procedure', 'bayesian decision', 'mathematical', 'problems', 'bayesian method', 'fundamentals', 'constructing', 'inference', 'techniques', 'associated', 'developing', 'approach', 'decision-making', 'case', 'data', 'presented', 'pseudofuzzy', 'quantities', 'problems concerned', 'considered', 'main operations', 'decision procedure based', 'basic relationships', 'principal concepts', 'decision procedure', 'procedure based', 'modus-ponens rule', 'concept', 'introduced', 'main', 'operations', 'practical realization', 'basic', 'relationships', 'principal', 'decision', 'procedure', 'based', 'modus-ponens', 'rule', 'proposed', 'concerned', 'practical', 'realization', 'method']",0.016129032258064516,1.0,0.031746031746031744,1,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18003132665669241,0.021739130434782608
"['monograph loans', 'ordering criteria', 'staff perceptions', 'patron comments']","['purdue university libraries', 'university libraries interlibrary', 'libraries interlibrary loan', 'interlibrary loan unit', 'loan unit proposed', 'purdue university', 'university libraries', 'interlibrary loan', 'loan unit', 'loan requests', 'just-in-time acquisitions', 'unit proposed', 'loan', 'purchase patrons', 'pilot project', 'purdue', 'university', 'libraries', 'interlibrary', 'amazon', 'project', 'patrons', 'patron comments', 'books', 'pilot', 'demand', 'just-in-time', 'acquisitions', 'unit', 'proposed', 'purchase', 'requests', 'resulting patron comments', 'project statistics', 'comments', 'statistics', 'enthusiastic patron comments', 'staff', 'staff analyzed previous', 'resulting patron', 'analyzed previous monograph', 'previous monograph loans', 'developed ordering criteria', 'enthusiastic patron', 'staff analyzed', 'staff perceptions', 'com', 'analyzed previous', 'previous monograph', 'monograph loans', 'developed ordering', 'ordering criteria', 'lend', 'add', 'titles', 'collection', 'extended', 'loans', 'proposal', 'analyzed', 'previous', 'monograph', 'developed', 'ordering', 'criteria', 'implemented', 'months', 'evaluated', 'resulting', 'perceptions', 'result', 'enthusiastic', 'review', 'program']",0.05405405405405406,1.0,0.10256410256410257,4,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3135574538822456,0.08126780626780628
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'canonical decomposition apparatus', 'moment function']","['nonlinear extrapolation algorithm', 'scalar random process', 'extrapolation algorithm', 'nonlinear extrapolation', 'scalar random', 'algorithm', 'nonlinear random dependences', 'nonlinear', 'random process', 'extrapolation', 'method', 'nonlinear random', 'random', 'process', 'pugachev canonical decomposition', 'random dependences', 'investigated process', 'realization', 'scalar', 'construction', 'proposed', 'pugachev canonical', 'mixed central moment', 'central moment functions', 'method makes', 'moment', 'mixed central', 'pugachev', 'central moment', 'moment functions', 'canonical decomposition apparatus', 'canonical decomposition', 'decomposition apparatus', 'makes', 'possible', 'account', 'dependences', 'exist', 'investigated', 'described', 'mixed', 'central', 'functions', 'order', 'based', 'canonical', 'decomposition', 'apparatus', 'example', 'problem', 'solved']",0.0784313725490196,0.6666666666666666,0.14035087719298245,6,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3344820897302863,0.07615165982535572
